timestamp,route,speed_kmh,delay_per_km_min,weather,is_weekend
2024-01-02 17:00:00,Nguyen Trai,4.01,13.45,Rain,0
2024-01-02 18:00:00,Nguyen Trai,8.61,5.47,Clear,0
2024-01-02 19:00:00,Nguyen Trai,9.77,4.64,Clear,0
2024-01-02 20:00:00,Nguyen Trai,36.63,0.14,Clear,0
2024-01-02 21:00:00,Nguyen Trai,39.04,0.04,Clear,0
2024-01-02 22:00:00,Nguyen Trai,23.89,1.01,Rain,0
2024-01-02 23:00:00,Nguyen Trai,14.15,2.74,Heavy Rain,0
2024-01-03 00:00:00,Nguyen Trai,43.05,0.0,Clear,0
2024-01-03 01:00:00,Nguyen Trai,39.46,0.02,Clear,0
2024-01-03 02:00:00,Nguyen Trai,41.64,0.0,Clear,0
2024-01-03 03:00:00,Nguyen Trai,36.8,0.13,Clear,0
2024-01-03 04:00:00,Nguyen Trai,38.76,0.05,Clear,0
2024-01-03 05:00:00,Nguyen Trai,40.68,0.0,Clear,0
2024-01-03 06:00:00,Nguyen Trai,36.97,0.12,Clear,0
2024-01-03 07:00:00,Nguyen Trai,11.44,3.75,Clear,0
2024-01-03 08:00:00,Nguyen Trai,5.06,10.37,Rain,0
2024-01-03 09:00:00,Nguyen Trai,7.1,6.95,Rain,0
2024-01-03 10:00:00,Nguyen Trai,22.81,1.13,Clear,0
2024-01-03 11:00:00,Nguyen Trai,26.77,0.74,Clear,0
2024-01-03 12:00:00,Nguyen Trai,23.7,1.03,Clear,0
2024-01-03 13:00:00,Nguyen Trai,27.48,0.68,Clear,0
2024-01-03 14:00:00,Nguyen Trai,21.5,1.29,Clear,0
2024-01-03 15:00:00,Nguyen Trai,23.86,1.01,Clear,0
2024-01-03 16:00:00,Nguyen Trai,24.45,0.95,Clear,0
2024-01-03 17:00:00,Nguyen Trai,7.4,6.6,Clear,0
2024-01-03 18:00:00,Nguyen Trai,5.21,10.03,Clear,0
2024-01-03 19:00:00,Nguyen Trai,6.04,8.43,Clear,0
2024-01-03 20:00:00,Nguyen Trai,43.09,0.0,Clear,0
2024-01-03 21:00:00,Nguyen Trai,35.89,0.17,Clear,0
2024-01-03 22:00:00,Nguyen Trai,14.93,2.52,Heavy Rain,0
2024-01-03 23:00:00,Nguyen Trai,41.06,0.0,Clear,0
2024-01-04 00:00:00,Nguyen Trai,39.38,0.02,Clear,0
2024-01-04 01:00:00,Nguyen Trai,39.79,0.01,Clear,0
2024-01-04 02:00:00,Nguyen Trai,42.98,0.0,Clear,0
2024-01-04 03:00:00,Nguyen Trai,27.98,0.64,Rain,0
2024-01-04 04:00:00,Nguyen Trai,45.45,0.0,Clear,0
2024-01-04 05:00:00,Nguyen Trai,28.47,0.61,Rain,0
2024-01-04 06:00:00,Nguyen Trai,41.39,0.0,Clear,0
2024-01-04 07:00:00,Nguyen Trai,6.95,7.13,Rain,0
2024-01-04 08:00:00,Nguyen Trai,6.91,7.19,Clear,0
2024-01-04 09:00:00,Nguyen Trai,7.1,6.95,Clear,0
2024-01-04 10:00:00,Nguyen Trai,26.45,0.77,Clear,0
2024-01-04 11:00:00,Nguyen Trai,23.58,1.04,Clear,0
2024-01-04 12:00:00,Nguyen Trai,20.75,1.39,Rain,0
2024-01-04 13:00:00,Nguyen Trai,24.37,0.96,Clear,0
2024-01-04 14:00:00,Nguyen Trai,26.61,0.75,Clear,0
2024-01-04 15:00:00,Nguyen Trai,21.78,1.25,Clear,0
2024-01-04 16:00:00,Nguyen Trai,24.54,0.94,Clear,0
2024-01-04 17:00:00,Nguyen Trai,7.32,6.69,Clear,0
2024-01-04 18:00:00,Nguyen Trai,4.32,12.4,Clear,0
2024-01-04 19:00:00,Nguyen Trai,6.17,8.22,Clear,0
2024-01-04 20:00:00,Nguyen Trai,42.68,0.0,Clear,0
2024-01-04 21:00:00,Nguyen Trai,36.8,0.13,Clear,0
2024-01-04 22:00:00,Nguyen Trai,41.24,0.0,Clear,0
2024-01-04 23:00:00,Nguyen Trai,43.03,0.0,Clear,0
2024-01-05 00:00:00,Nguyen Trai,42.1,0.0,Clear,0
2024-01-05 01:00:00,Nguyen Trai,38.32,0.07,Clear,0
2024-01-05 02:00:00,Nguyen Trai,42.3,0.0,Clear,0
2024-01-05 03:00:00,Nguyen Trai,36.45,0.15,Clear,0
2024-01-05 04:00:00,Nguyen Trai,41.04,0.0,Clear,0
2024-01-05 05:00:00,Nguyen Trai,17.21,1.99,Heavy Rain,0
2024-01-05 06:00:00,Nguyen Trai,39.86,0.01,Clear,0
2024-01-05 07:00:00,Nguyen Trai,7.74,6.25,Clear,0
2024-01-05 08:00:00,Nguyen Trai,6.39,7.89,Clear,0
2024-01-05 09:00:00,Nguyen Trai,11.1,3.9,Clear,0
2024-01-05 10:00:00,Nguyen Trai,20.73,1.39,Clear,0
2024-01-05 11:00:00,Nguyen Trai,21.17,1.33,Clear,0
2024-01-05 12:00:00,Nguyen Trai,23.79,1.02,Clear,0
2024-01-05 13:00:00,Nguyen Trai,23.0,1.11,Clear,0
2024-01-05 14:00:00,Nguyen Trai,25.95,0.81,Clear,0
2024-01-05 15:00:00,Nguyen Trai,19.59,1.56,Clear,0
2024-01-05 16:00:00,Nguyen Trai,17.46,1.94,Rain,0
2024-01-05 17:00:00,Nguyen Trai,7.9,6.1,Clear,0
2024-01-05 18:00:00,Nguyen Trai,10.09,4.44,Clear,0
2024-01-05 19:00:00,Nguyen Trai,9.03,5.15,Clear,0
2024-01-05 20:00:00,Nguyen Trai,35.31,0.2,Clear,0
2024-01-05 21:00:00,Nguyen Trai,40.71,0.0,Clear,0
2024-01-05 22:00:00,Nguyen Trai,44.1,0.0,Clear,0
2024-01-05 23:00:00,Nguyen Trai,39.01,0.04,Clear,0
2024-01-06 00:00:00,Nguyen Trai,31.58,0.4,Rain,1
2024-01-06 01:00:00,Nguyen Trai,39.22,0.03,Clear,1
2024-01-06 02:00:00,Nguyen Trai,16.03,2.24,Heavy Rain,1
2024-01-06 03:00:00,Nguyen Trai,44.03,0.0,Clear,1
2024-01-06 04:00:00,Nguyen Trai,43.94,0.0,Clear,1
2024-01-06 05:00:00,Nguyen Trai,43.73,0.0,Clear,1
2024-01-06 06:00:00,Nguyen Trai,27.64,0.67,Rain,1
2024-01-06 07:00:00,Nguyen Trai,40.7,0.0,Clear,1
2024-01-06 08:00:00,Nguyen Trai,38.38,0.06,Clear,1
2024-01-06 09:00:00,Nguyen Trai,44.18,0.0,Clear,1
2024-01-06 10:00:00,Nguyen Trai,27.11,0.71,Clear,1
2024-01-06 11:00:00,Nguyen Trai,30.24,0.48,Clear,1
2024-01-06 12:00:00,Nguyen Trai,30.3,0.48,Clear,1
2024-01-06 13:00:00,Nguyen Trai,24.32,0.97,Clear,1
2024-01-06 14:00:00,Nguyen Trai,29.91,0.51,Clear,1
2024-01-06 15:00:00,Nguyen Trai,25.44,0.86,Clear,1
2024-01-06 16:00:00,Nguyen Trai,25.31,0.87,Clear,1
2024-01-06 17:00:00,Nguyen Trai,17.46,1.94,Rain,1
2024-01-06 18:00:00,Nguyen Trai,9.13,5.07,Heavy Rain,1
2024-01-06 19:00:00,Nguyen Trai,24.93,0.91,Rain,1
2024-01-06 20:00:00,Nguyen Trai,27.76,0.66,Clear,1
2024-01-06 21:00:00,Nguyen Trai,42.11,0.0,Clear,1
2024-01-06 22:00:00,Nguyen Trai,35.09,0.21,Clear,1
2024-01-06 23:00:00,Nguyen Trai,38.23,0.07,Clear,1
2024-01-07 00:00:00,Nguyen Trai,37.85,0.09,Clear,1
2024-01-07 01:00:00,Nguyen Trai,14.92,2.52,Heavy Rain,1
2024-01-07 02:00:00,Nguyen Trai,44.94,0.0,Clear,1
2024-01-07 03:00:00,Nguyen Trai,11.58,3.68,Heavy Rain,1
2024-01-07 04:00:00,Nguyen Trai,12.73,3.21,Heavy Rain,1
2024-01-07 05:00:00,Nguyen Trai,44.32,0.0,Clear,1
2024-01-07 06:00:00,Nguyen Trai,42.1,0.0,Clear,1
2024-01-07 07:00:00,Nguyen Trai,24.23,0.98,Rain,1
2024-01-07 08:00:00,Nguyen Trai,30.5,0.47,Rain,1
2024-01-07 09:00:00,Nguyen Trai,38.08,0.08,Clear,1
2024-01-07 10:00:00,Nguyen Trai,25.69,0.84,Clear,1
2024-01-07 11:00:00,Nguyen Trai,14.03,2.78,Heavy Rain,1
2024-01-07 12:00:00,Nguyen Trai,18.85,1.68,Rain,1
2024-01-07 13:00:00,Nguyen Trai,25.27,0.87,Rain,1
2024-01-07 14:00:00,Nguyen Trai,30.16,0.49,Clear,1
2024-01-07 15:00:00,Nguyen Trai,29.46,0.54,Clear,1
2024-01-07 16:00:00,Nguyen Trai,20.79,1.39,Rain,1
2024-01-07 17:00:00,Nguyen Trai,30.1,0.49,Clear,1
2024-01-07 18:00:00,Nguyen Trai,21.14,1.34,Rain,1
2024-01-07 19:00:00,Nguyen Trai,27.14,0.71,Clear,1
2024-01-07 20:00:00,Nguyen Trai,15.32,2.42,Heavy Rain,1
2024-01-07 21:00:00,Nguyen Trai,31.63,0.4,Rain,1
2024-01-07 22:00:00,Nguyen Trai,41.4,0.0,Clear,1
2024-01-07 23:00:00,Nguyen Trai,41.55,0.0,Clear,1
2024-01-08 00:00:00,Nguyen Trai,39.36,0.02,Clear,0
2024-01-08 01:00:00,Nguyen Trai,42.5,0.0,Clear,0
2024-01-08 02:00:00,Nguyen Trai,28.7,0.59,Rain,0
2024-01-08 03:00:00,Nguyen Trai,41.44,0.0,Clear,0
2024-01-08 04:00:00,Nguyen Trai,36.67,0.14,Clear,0
2024-01-08 05:00:00,Nguyen Trai,40.12,0.0,Clear,0
2024-01-08 06:00:00,Nguyen Trai,36.44,0.15,Clear,0
2024-01-08 07:00:00,Nguyen Trai,8.69,5.4,Clear,0
2024-01-08 08:00:00,Nguyen Trai,8.32,5.71,Clear,0
2024-01-08 09:00:00,Nguyen Trai,8.68,5.41,Clear,0
2024-01-08 10:00:00,Nguyen Trai,28.77,0.59,Clear,0
2024-01-08 11:00:00,Nguyen Trai,23.84,1.02,Clear,0
2024-01-08 12:00:00,Nguyen Trai,27.36,0.69,Clear,0
2024-01-08 13:00:00,Nguyen Trai,24.0,1.0,Clear,0
2024-01-08 14:00:00,Nguyen Trai,20.3,1.46,Clear,0
2024-01-08 15:00:00,Nguyen Trai,20.44,1.44,Clear,0
2024-01-08 16:00:00,Nguyen Trai,16.08,2.23,Rain,0
2024-01-08 17:00:00,Nguyen Trai,4.8,10.99,Clear,0
2024-01-08 18:00:00,Nguyen Trai,4.85,10.87,Clear,0
2024-01-08 19:00:00,Nguyen Trai,4.51,11.79,Clear,0
2024-01-08 20:00:00,Nguyen Trai,37.66,0.09,Clear,0
2024-01-08 21:00:00,Nguyen Trai,42.77,0.0,Clear,0
2024-01-08 22:00:00,Nguyen Trai,42.56,0.0,Clear,0
2024-01-08 23:00:00,Nguyen Trai,42.4,0.0,Clear,0
2024-01-09 00:00:00,Nguyen Trai,41.11,0.0,Clear,0
2024-01-09 01:00:00,Nguyen Trai,37.62,0.1,Clear,0
2024-01-09 02:00:00,Nguyen Trai,40.79,0.0,Clear,0
2024-01-09 03:00:00,Nguyen Trai,40.94,0.0,Clear,0
2024-01-09 04:00:00,Nguyen Trai,29.39,0.54,Rain,0
2024-01-09 05:00:00,Nguyen Trai,36.98,0.12,Clear,0
2024-01-09 06:00:00,Nguyen Trai,37.47,0.1,Clear,0
2024-01-09 07:00:00,Nguyen Trai,5.94,8.59,Clear,0
2024-01-09 08:00:00,Nguyen Trai,8.28,5.75,Clear,0
2024-01-09 09:00:00,Nguyen Trai,9.84,4.6,Clear,0
2024-01-09 10:00:00,Nguyen Trai,24.08,0.99,Clear,0
2024-01-09 11:00:00,Nguyen Trai,24.53,0.95,Clear,0
2024-01-09 12:00:00,Nguyen Trai,20.73,1.39,Clear,0
2024-01-09 13:00:00,Nguyen Trai,24.81,0.92,Clear,0
2024-01-09 14:00:00,Nguyen Trai,27.16,0.71,Clear,0
2024-01-09 15:00:00,Nguyen Trai,20.29,1.46,Clear,0
2024-01-09 16:00:00,Nguyen Trai,20.83,1.38,Clear,0
2024-01-09 17:00:00,Nguyen Trai,3.11,17.78,Rain,0
2024-01-09 18:00:00,Nguyen Trai,3.0,18.5,Heavy Rain,0
2024-01-09 19:00:00,Nguyen Trai,7.31,6.7,Rain,0
2024-01-09 20:00:00,Nguyen Trai,38.97,0.04,Clear,0
2024-01-09 21:00:00,Nguyen Trai,39.56,0.02,Clear,0
2024-01-09 22:00:00,Nguyen Trai,41.41,0.0,Clear,0
2024-01-09 23:00:00,Nguyen Trai,38.39,0.06,Clear,0
2024-01-10 00:00:00,Nguyen Trai,36.14,0.16,Clear,0
2024-01-10 01:00:00,Nguyen Trai,40.57,0.0,Clear,0
2024-01-10 02:00:00,Nguyen Trai,39.6,0.02,Clear,0
2024-01-10 03:00:00,Nguyen Trai,38.89,0.04,Clear,0
2024-01-10 04:00:00,Nguyen Trai,25.57,0.85,Rain,0
2024-01-10 05:00:00,Nguyen Trai,41.96,0.0,Clear,0
2024-01-10 06:00:00,Nguyen Trai,40.98,0.0,Clear,0
2024-01-10 07:00:00,Nguyen Trai,3.65,14.94,Heavy Rain,0
2024-01-10 08:00:00,Nguyen Trai,11.13,3.89,Clear,0
2024-01-10 09:00:00,Nguyen Trai,10.8,4.05,Clear,0
2024-01-10 10:00:00,Nguyen Trai,20.49,1.43,Clear,0
2024-01-10 11:00:00,Nguyen Trai,21.98,1.23,Clear,0
2024-01-10 12:00:00,Nguyen Trai,24.96,0.9,Clear,0
2024-01-10 13:00:00,Nguyen Trai,27.87,0.65,Clear,0
2024-01-10 14:00:00,Nguyen Trai,23.43,1.06,Clear,0
2024-01-10 15:00:00,Nguyen Trai,22.42,1.18,Clear,0
2024-01-10 16:00:00,Nguyen Trai,14.86,2.54,Rain,0
2024-01-10 17:00:00,Nguyen Trai,9.08,5.11,Clear,0
2024-01-10 18:00:00,Nguyen Trai,9.48,4.83,Clear,0
2024-01-10 19:00:00,Nguyen Trai,4.89,10.76,Clear,0
2024-01-10 20:00:00,Nguyen Trai,29.45,0.54,Rain,0
2024-01-10 21:00:00,Nguyen Trai,39.43,0.02,Clear,0
2024-01-10 22:00:00,Nguyen Trai,37.22,0.11,Clear,0
2024-01-10 23:00:00,Nguyen Trai,44.4,0.0,Clear,0
2024-01-11 00:00:00,Nguyen Trai,22.83,1.13,Rain,0
2024-01-11 01:00:00,Nguyen Trai,41.23,0.0,Clear,0
2024-01-11 02:00:00,Nguyen Trai,42.37,0.0,Clear,0
2024-01-11 03:00:00,Nguyen Trai,40.52,0.0,Clear,0
2024-01-11 04:00:00,Nguyen Trai,40.35,0.0,Clear,0
2024-01-11 05:00:00,Nguyen Trai,40.51,0.0,Clear,0
2024-01-11 06:00:00,Nguyen Trai,43.95,0.0,Clear,0
2024-01-11 07:00:00,Nguyen Trai,8.6,5.48,Clear,0
2024-01-11 08:00:00,Nguyen Trai,8.17,5.85,Rain,0
2024-01-11 09:00:00,Nguyen Trai,11.13,3.89,Clear,0
2024-01-11 10:00:00,Nguyen Trai,24.42,0.96,Clear,0
2024-01-11 11:00:00,Nguyen Trai,20.23,1.47,Rain,0
2024-01-11 12:00:00,Nguyen Trai,9.41,4.87,Heavy Rain,0
2024-01-11 13:00:00,Nguyen Trai,19.44,1.59,Rain,0
2024-01-11 14:00:00,Nguyen Trai,22.81,1.13,Clear,0
2024-01-11 15:00:00,Nguyen Trai,25.98,0.81,Clear,0
2024-01-11 16:00:00,Nguyen Trai,24.16,0.98,Clear,0
2024-01-11 17:00:00,Nguyen Trai,6.22,8.14,Clear,0
2024-01-11 18:00:00,Nguyen Trai,6.68,7.48,Clear,0
2024-01-11 19:00:00,Nguyen Trai,4.84,10.89,Clear,0
2024-01-11 20:00:00,Nguyen Trai,26.68,0.75,Rain,0
2024-01-11 21:00:00,Nguyen Trai,41.73,0.0,Clear,0
2024-01-11 22:00:00,Nguyen Trai,12.23,3.4,Heavy Rain,0
2024-01-11 23:00:00,Nguyen Trai,14.83,2.55,Heavy Rain,0
2024-01-12 00:00:00,Nguyen Trai,35.48,0.19,Clear,0
2024-01-12 01:00:00,Nguyen Trai,41.85,0.0,Clear,0
2024-01-12 02:00:00,Nguyen Trai,36.53,0.14,Clear,0
2024-01-12 03:00:00,Nguyen Trai,36.36,0.15,Clear,0
2024-01-12 04:00:00,Nguyen Trai,39.8,0.01,Clear,0
2024-01-12 05:00:00,Nguyen Trai,39.19,0.03,Clear,0
2024-01-12 06:00:00,Nguyen Trai,28.28,0.62,Rain,0
2024-01-12 07:00:00,Nguyen Trai,9.4,4.89,Clear,0
2024-01-12 08:00:00,Nguyen Trai,7.05,7.01,Clear,0
2024-01-12 09:00:00,Nguyen Trai,6.0,8.51,Clear,0
2024-01-12 10:00:00,Nguyen Trai,24.37,0.96,Clear,0
2024-01-12 11:00:00,Nguyen Trai,26.8,0.74,Clear,0
2024-01-12 12:00:00,Nguyen Trai,21.34,1.31,Clear,0
2024-01-12 13:00:00,Nguyen Trai,19.54,1.57,Rain,0
2024-01-12 14:00:00,Nguyen Trai,24.82,0.92,Clear,0
2024-01-12 15:00:00,Nguyen Trai,26.04,0.8,Clear,0
2024-01-12 16:00:00,Nguyen Trai,20.97,1.36,Clear,0
2024-01-12 17:00:00,Nguyen Trai,7.79,6.2,Clear,0
2024-01-12 18:00:00,Nguyen Trai,8.69,5.4,Clear,0
2024-01-12 19:00:00,Nguyen Trai,6.13,8.28,Clear,0
2024-01-12 20:00:00,Nguyen Trai,41.21,0.0,Clear,0
2024-01-12 21:00:00,Nguyen Trai,41.26,0.0,Clear,0
2024-01-12 22:00:00,Nguyen Trai,43.66,0.0,Clear,0
2024-01-12 23:00:00,Nguyen Trai,30.1,0.49,Rain,0
2024-01-13 00:00:00,Nguyen Trai,36.33,0.15,Clear,1
2024-01-13 01:00:00,Nguyen Trai,39.59,0.02,Clear,1
2024-01-13 02:00:00,Nguyen Trai,16.72,2.09,Heavy Rain,1
2024-01-13 03:00:00,Nguyen Trai,39.76,0.01,Clear,1
2024-01-13 04:00:00,Nguyen Trai,36.11,0.16,Clear,1
2024-01-13 05:00:00,Nguyen Trai,41.77,0.0,Clear,1
2024-01-13 06:00:00,Nguyen Trai,36.28,0.15,Clear,1
2024-01-13 07:00:00,Nguyen Trai,31.39,0.41,Rain,1
2024-01-13 08:00:00,Nguyen Trai,43.03,0.0,Clear,1
2024-01-13 09:00:00,Nguyen Trai,39.42,0.02,Clear,1
2024-01-13 10:00:00,Nguyen Trai,24.96,0.9,Clear,1
2024-01-13 11:00:00,Nguyen Trai,24.03,1.0,Clear,1
2024-01-13 12:00:00,Nguyen Trai,26.72,0.75,Clear,1
2024-01-13 13:00:00,Nguyen Trai,29.95,0.5,Clear,1
2024-01-13 14:00:00,Nguyen Trai,29.02,0.57,Clear,1
2024-01-13 15:00:00,Nguyen Trai,28.46,0.61,Clear,1
2024-01-13 16:00:00,Nguyen Trai,24.93,0.91,Clear,1
2024-01-13 17:00:00,Nguyen Trai,27.51,0.68,Clear,1
2024-01-13 18:00:00,Nguyen Trai,28.89,0.58,Clear,1
2024-01-13 19:00:00,Nguyen Trai,30.39,0.47,Clear,1
2024-01-13 20:00:00,Nguyen Trai,28.36,0.62,Clear,1
2024-01-13 21:00:00,Nguyen Trai,41.43,0.0,Clear,1
2024-01-13 22:00:00,Nguyen Trai,39.06,0.04,Clear,1
2024-01-13 23:00:00,Nguyen Trai,45.29,0.0,Clear,1
2024-01-14 00:00:00,Nguyen Trai,39.73,0.01,Clear,1
2024-01-14 01:00:00,Nguyen Trai,44.3,0.0,Clear,1
2024-01-14 02:00:00,Nguyen Trai,42.71,0.0,Clear,1
2024-01-14 03:00:00,Nguyen Trai,36.94,0.12,Clear,1
2024-01-14 04:00:00,Nguyen Trai,27.24,0.7,Rain,1
2024-01-14 05:00:00,Nguyen Trai,43.7,0.0,Clear,1
2024-01-14 06:00:00,Nguyen Trai,44.18,0.0,Clear,1
2024-01-14 07:00:00,Nguyen Trai,31.84,0.38,Rain,1
2024-01-14 08:00:00,Nguyen Trai,30.04,0.5,Rain,1
2024-01-14 09:00:00,Nguyen Trai,43.04,0.0,Clear,1
2024-01-14 10:00:00,Nguyen Trai,24.75,0.92,Clear,1
2024-01-14 11:00:00,Nguyen Trai,30.23,0.48,Clear,1
2024-01-14 12:00:00,Nguyen Trai,24.62,0.94,Clear,1
2024-01-14 13:00:00,Nguyen Trai,30.71,0.45,Clear,1
2024-01-14 14:00:00,Nguyen Trai,30.26,0.48,Clear,1
2024-01-14 15:00:00,Nguyen Trai,15.17,2.46,Rain,1
2024-01-14 16:00:00,Nguyen Trai,22.52,1.16,Rain,1
2024-01-14 17:00:00,Nguyen Trai,26.54,0.76,Clear,1
2024-01-14 18:00:00,Nguyen Trai,28.88,0.58,Clear,1
2024-01-14 19:00:00,Nguyen Trai,31.61,0.4,Clear,1
2024-01-14 20:00:00,Nguyen Trai,26.66,0.75,Clear,1
2024-01-14 21:00:00,Nguyen Trai,36.1,0.16,Clear,1
2024-01-14 22:00:00,Nguyen Trai,36.61,0.14,Clear,1
2024-01-14 23:00:00,Nguyen Trai,13.77,2.86,Heavy Rain,1
2024-01-15 00:00:00,Nguyen Trai,43.3,0.0,Clear,0
2024-01-15 01:00:00,Nguyen Trai,41.94,0.0,Clear,0
2024-01-15 02:00:00,Nguyen Trai,30.18,0.49,Rain,0
2024-01-15 03:00:00,Nguyen Trai,13.5,2.94,Heavy Rain,0
2024-01-15 04:00:00,Nguyen Trai,41.25,0.0,Clear,0
2024-01-15 05:00:00,Nguyen Trai,36.79,0.13,Clear,0
2024-01-15 06:00:00,Nguyen Trai,36.93,0.12,Clear,0
2024-01-15 07:00:00,Nguyen Trai,3.16,17.51,Heavy Rain,0
2024-01-15 08:00:00,Nguyen Trai,11.85,3.57,Clear,0
2024-01-15 09:00:00,Nguyen Trai,10.18,4.39,Clear,0
2024-01-15 10:00:00,Nguyen Trai,25.79,0.83,Clear,0
2024-01-15 11:00:00,Nguyen Trai,24.49,0.95,Clear,0
2024-01-15 12:00:00,Nguyen Trai,13.04,3.1,Rain,0
2024-01-15 13:00:00,Nguyen Trai,13.2,3.04,Heavy Rain,0
2024-01-15 14:00:00,Nguyen Trai,24.2,0.98,Clear,0
2024-01-15 15:00:00,Nguyen Trai,22.71,1.14,Clear,0
2024-01-15 16:00:00,Nguyen Trai,24.71,0.93,Clear,0
2024-01-15 17:00:00,Nguyen Trai,5.1,10.27,Clear,0
2024-01-15 18:00:00,Nguyen Trai,9.09,5.1,Clear,0
2024-01-15 19:00:00,Nguyen Trai,5.15,10.15,Rain,0
2024-01-15 20:00:00,Nguyen Trai,42.06,0.0,Clear,0
2024-01-15 21:00:00,Nguyen Trai,43.87,0.0,Clear,0
2024-01-15 22:00:00,Nguyen Trai,44.39,0.0,Clear,0
2024-01-15 23:00:00,Nguyen Trai,42.07,0.0,Clear,0
2024-01-16 00:00:00,Nguyen Trai,43.62,0.0,Clear,0
2024-01-16 01:00:00,Nguyen Trai,44.37,0.0,Clear,0
2024-01-16 02:00:00,Nguyen Trai,37.93,0.08,Clear,0
2024-01-16 03:00:00,Nguyen Trai,28.6,0.6,Rain,0
2024-01-16 04:00:00,Nguyen Trai,36.47,0.15,Clear,0
2024-01-16 05:00:00,Nguyen Trai,42.8,0.0,Clear,0
2024-01-16 06:00:00,Nguyen Trai,42.22,0.0,Clear,0
2024-01-16 07:00:00,Nguyen Trai,6.67,7.5,Clear,0
2024-01-16 08:00:00,Nguyen Trai,11.93,3.53,Clear,0
2024-01-16 09:00:00,Nguyen Trai,12.1,3.46,Clear,0
2024-01-16 10:00:00,Nguyen Trai,25.0,0.9,Clear,0
2024-01-16 11:00:00,Nguyen Trai,25.88,0.82,Clear,0
2024-01-16 12:00:00,Nguyen Trai,21.73,1.26,Clear,0
2024-01-16 13:00:00,Nguyen Trai,13.65,2.9,Heavy Rain,0
2024-01-16 14:00:00,Nguyen Trai,20.04,1.49,Clear,0
2024-01-16 15:00:00,Nguyen Trai,20.15,1.48,Clear,0
2024-01-16 16:00:00,Nguyen Trai,26.02,0.81,Clear,0
2024-01-16 17:00:00,Nguyen Trai,3.0,18.5,Heavy Rain,0
2024-01-16 18:00:00,Nguyen Trai,5.08,10.32,Clear,0
2024-01-16 19:00:00,Nguyen Trai,5.42,9.57,Clear,0
2024-01-16 20:00:00,Nguyen Trai,43.1,0.0,Clear,0
2024-01-16 21:00:00,Nguyen Trai,38.86,0.04,Clear,0
2024-01-16 22:00:00,Nguyen Trai,38.95,0.04,Clear,0
2024-01-16 23:00:00,Nguyen Trai,15.16,2.46,Heavy Rain,0
